"company","candidate_name","target_mechanism","indication","ai_discovery_approach","current_stage","commercialized","key_milestone_note","source_url","as_of_date"
"Insilico Medicine","Rentosertib (ISM3312/INS018_055)","TNIK inhibitor","Idiopathic Pulmonary Fibrosis (IPF)","Generative AI end-to-end (target discovery + molecule generation via Pharma.AI)","Phase III","No","세계 최초로 생성형 AI가 타겟 발굴부터 분자 설계까지 전 과정을 담당한 신약후보로 2026년 7월 임상 3상(320명) 진입. 아직 승인 전.","https://insilico.com/news/xmjsn4l091-insilico-initiates-phase-iii-clinical-trial-for-rentosertib","2026-07"
"Insilico Medicine","ISM3091","USP1 inhibitor","Solid tumors with homologous recombination DNA repair deficiency","AI-driven target ID + generative molecule design","Phase I/II","No","2023년 IND 승인. 2023년 9월 Exelixis에 글로벌 라이선스 아웃(계약금 8천만 달러 이상).","https://ir.exelixis.com/news-releases/news-release-details/exelixis-and-insilico-medicine-enter-exclusive-global-license","2023-09 (licensed; trial ongoing)"
"Insilico Medicine","ISM8207","QPCTL inhibitor (CD47-SIRPα axis)","Oncology (immuno-oncology)","AI target discovery + generative chemistry","Phase I","No","2024년 5월 임상 1상 개시.","https://www.biopharmatrend.com/insilico-medicine-initiates-phase-i-clinical-trial-for-novel-qpctl-inhibitor","2024-05"
"Insilico Medicine","ISM5411","HIF-1α stabilizer (GI-restricted)","Inflammatory Bowel Disease / Crohn's disease","Generative AI molecule design","Early clinical (Phase I/IIa)","No","2026년 1월 Crohn's 관련 학회에서 데이터 발표.","https://insilico.com/news/28ohjfj6u1-insilico-medicine-to-present-3-abstracts-at-the-2026-crohns","2026-01"
"Recursion Pharmaceuticals","REC-4881","MEK1/2 inhibitor","Familial Adenomatous Polyposis (FAP)","Recursion OS (phenomics + AI map 기반 타겟/화합물 발굴)","Phase I/II","No","2026년 5월 기준 Phase 2 유효성 신호 확인, FDA와 등록 경로(registrational pathway) 논의 개시.","https://www.biospace.com/press-releases/recursion-reports-first-quarter-financial-results","2026-05"
"Recursion Pharmaceuticals","REC-617","CDK7 inhibitor","Advanced solid tumors","Recursion OS + AI 기반 설계 (원래 Exscientia GTAEXS617 프로그램)","Phase I/II","No","Recursion-Exscientia 합병(2024년 11월) 이후 통합 파이프라인으로 지속 개발 중.","https://www.recursion.com/pipeline","2026-05"
"Recursion Pharmaceuticals","REC-3565","MALT1 inhibitor","Oncology (B세포 악성종양)","Recursion OS","Phase I (early safety data pending)","No","2027년 상반기 초기 안전성 데이터 발표 예정(2026년 5월 기준 가이던스).","https://kr.investing.com/news/company-news/recursion-2026-1q","2026-05"
"Exscientia (Recursion 합병)","EXS-21546","A2A adenosine receptor antagonist","Solid tumors (병용 면역항암)","AI-driven design (Exscientia Centaur Chemist 플랫폼)","중단 (Discontinued)","No","Recursion과의 합병 이후 2025년 우선순위에서 제외되어 임상 중단.","https://www.fiercebiotech.com/biotech/several-months-after-exscientia-merger","2025-05"
"Iambic Therapeutics","IAM1363","HER2 inhibitor (뇌투과성; 야생형+변이형 모두 표적)","HER2 변이 관련 암종(비소세포폐암 포함)","AI 생성 설계 + 자동화 검증 플랫폼","Phase I/Ib","No","2025년 10월 ESMO에서 초기 항종양 효능 데이터 공개(약 2년 만에 후보물질에서 First-in-human 도달).","https://www.iambic.ai/post/esmo-iam1363","2025-10"
"Isomorphic Labs (Alphabet/DeepMind 계열)","비공개(undisclosed oncology candidates)","미공개","종양학(oncology) 후보물질 다수","AlphaFold 기반 AI 신약 설계 엔진","전임상/IND 준비 단계(첫 임상 진입 준비 중)","No","2026년 5월 20억1천만 달러 펀딩 유치, 임상 진입 목표로 파이프라인 확장 중. 구체 후보물질명은 아직 미공개.","https://www.prnewswire.com/news-releases/isomorphic-labs-secures-2-1-billion-funding","2026-05"
